ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
EAEA0-9B8A-742F-3D69-0_w,w_EMB-VI_NLS_4370-03.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9B8A-742F-3D69-0.jpg
EAEA0-21CD-5B2C-CA7A-0,1889-Artefact_fig07-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_2.zip,amsd/EAEA0-2/EAEA0-21CD-5B2C-CA7A-0.jpg
EAEA0-21CD-5B2C-CA7A-0_t,t_1889-Artefact_fig07-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-21CD-5B2C-CA7A-0.jpg
EAEA0-21CD-5B2C-CA7A-0_w,w_1889-Artefact_fig07-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-21CD-5B2C-CA7A-0.jpg
EAEA0-9882-4179-01F2-0,1889-Artefact_fig06-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_9.zip,amsd/EAEA0-9/EAEA0-9882-4179-01F2-0.jpg
EAEA0-9882-4179-01F2-0_t,t_1889-Artefact_fig06-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9882-4179-01F2-0.jpg
EAEA0-9882-4179-01F2-0_w,w_1889-Artefact_fig06-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9882-4179-01F2-0.jpg
EAEA0-7065-7F05-B4E8-0,PRM-1989.46.8_01.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_7.zip,amsd/EAEA0-7/EAEA0-7065-7F05-B4E8-0.png
EAEA0-7065-7F05-B4E8-0_t,t_PRM-1989.46.8_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-7065-7F05-B4E8-0.jpg
EAEA0-7065-7F05-B4E8-0_w,w_PRM-1989.46.8_01.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-7065-7F05-B4E8-0.jpg
EAEA0-B295-7715-580B-0,PRM-1989.46.8_02.png,,image/png,https://zenodo.org/records/21504350/files/amsd_media_B.zip,amsd/EAEA0-B/EAEA0-B295-7715-580B-0.png
EAEA0-B295-7715-580B-0_t,t_PRM-1989.46.8_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B295-7715-580B-0.jpg
EAEA0-B295-7715-580B-0_w,w_PRM-1989.46.8_02.png,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-B295-7715-580B-0.jpg
EAEA0-F305-93E0-B0C5-0,PRM_display04.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_F.zip,amsd/EAEA0-F/EAEA0-F305-93E0-B0C5-0.jpeg
EAEA0-F305-93E0-B0C5-0_t,t_PRM_display04.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F305-93E0-B0C5-0.jpg
EAEA0-F305-93E0-B0C5-0_w,w_PRM_display04.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-F305-93E0-B0C5-0.jpg
EAEA0-E335-F587-6A9A-0,1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_E.zip,amsd/EAEA0-E/EAEA0-E335-F587-6A9A-0.jpg
EAEA0-E335-F587-6A9A-0_t,t_1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E335-F587-6A9A-0.jpg
EAEA0-E335-F587-6A9A-0_w,w_1889-Artefact_fig08-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E335-F587-6A9A-0.jpg
EAEA0-8FB5-7227-89C1-0,1904-Artefact05_fig43-Howitt-The_native_tribes-p696.JPG,,image/png,https://zenodo.org/records/21504350/files/amsd_media_8.zip,amsd/EAEA0-8/EAEA0-8FB5-7227-89C1-0.png
