pk,name,oid,path
95,y-1897-Artefact_fig10-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-5774-3646-9F08-0,y_1897_Artefact_fig10_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
96,1897-Artefact_fig10-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-24ED-B66A-D0A2-0,1897_Artefact_fig10_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
97,1897-Artefact_fig11-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-81F4-311B-64C0-0,1897_Artefact_fig11_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
98,y-1897-Artefact_fig10-Mathews-Message_sticks_used_by_the_Aborig2-p292_02.png,EAEA0-3E91-9B72-6232-0,y_1897_Artefact_fig10_Mathews_Message_sticks_used_by_the_Aborig2_p292_02.png
99,1897-Artefact_fig12-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-C123-EBAD-63CA-0,1897_Artefact_fig12_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
100,1898-Artefact_fig03-Mathews-Message_Sticks-scientificamerican.png,EAEA0-8D78-B177-03D7-0,1898_Artefact_fig03_Mathews_Message_Sticks_scientificamerican.png
101,1898-Artefact_fig04-Mathews-Message_Sticks-scientificamerican.png,EAEA0-20E3-0455-6FC8-0,1898_Artefact_fig04_Mathews_Message_Sticks_scientificamerican.png
102,1918-sketch_Hamnyn_Harris_Fig2.png,EAEA0-3C7C-4300-C209-0,1918_sketch_Hamnyn_Harris_Fig2.png
103,1918-sketch_Hamnyn_Harris_Fig3.png,EAEA0-CCA8-D44F-A7C0-0,1918_sketch_Hamnyn_Harris_Fig3.png
104,1918-sketch_Hamnyn_Harris_Fig4.png,EAEA0-F39F-1030-B26D-0,1918_sketch_Hamnyn_Harris_Fig4.png
105,1918-sketch_Hamnyn_Harris_Fig5.png,EAEA0-50E4-F76C-C432-0,1918_sketch_Hamnyn_Harris_Fig5.png
106,y-1918-sketch_Hamnyn_Harris_Fig6_black.png,EAEA0-09BE-C147-402F-0,y_1918_sketch_Hamnyn_Harris_Fig6_black.png
107,y-1918-sketch_Hamnyn_Harris_Fig6_black_01.png,EAEA0-DB3A-86C2-8A7B-0,y_1918_sketch_Hamnyn_Harris_Fig6_black_01.png
108,1918-sketch_Hamnyn_Harris_Fig6.png,EAEA0-D0A5-8863-ABB1-0,1918_sketch_Hamnyn_Harris_Fig6.png
109,y-1918-sketch_Hamnyn_Harris_Fig6_black_02.png,EAEA0-267E-9674-E15F-0,y_1918_sketch_Hamnyn_Harris_Fig6_black_02.png
110,1918-sketch_Hamnyn_Harris_Fig7.png,EAEA0-4BD7-A0BB-5444-0,1918_sketch_Hamnyn_Harris_Fig7.png
111,1918-sketch_Hamnyn_Harris_Fig8.png,EAEA0-5819-CFF3-4C1E-0,1918_sketch_Hamnyn_Harris_Fig8.png
112,1918-sketch_Hamnyn_Harris_Fig9.png,EAEA0-AF52-1D6C-9D9D-0,1918_sketch_Hamnyn_Harris_Fig9.png
